"lhs" "" "rhs" "support" "confidence" "lift"
"[155]" "{기존,면접}" "=>" "{인하대}" 0.225806451612903 0.777777777777778 0.893004115226337
"[156]" "{기존,인하대}" "=>" "{면접}" 0.225806451612903 0.777777777777778 1.26900584795322
"[157]" "{기존,면접}" "=>" "{어디}" 0.225806451612903 0.777777777777778 0.861111111111111
"[158]" "{기존,어디}" "=>" "{면접}" 0.225806451612903 0.777777777777778 1.26900584795322
"[159]" "{기존,필요}" "=>" "{저녁}" 0.225806451612903 1 1.24
"[160]" "{기존,저녁}" "=>" "{필요}" 0.225806451612903 0.7 0.986363636363636
"[161]" "{기존,필요}" "=>" "{인하대}" 0.225806451612903 1 1.14814814814815
"[162]" "{기존,인하대}" "=>" "{필요}" 0.225806451612903 0.777777777777778 1.0959595959596
"[163]" "{기존,문의}" "=>" "{저녁}" 0.290322580645161 0.9 1.116
"[164]" "{기존,저녁}" "=>" "{문의}" 0.290322580645161 0.9 1.1625
"[165]" "{기존,문의}" "=>" "{인하대}" 0.258064516129032 0.8 0.918518518518519
"[166]" "{기존,인하대}" "=>" "{문의}" 0.258064516129032 0.888888888888889 1.14814814814815
"[167]" "{기존,문의}" "=>" "{어디}" 0.258064516129032 0.8 0.885714285714286
"[168]" "{기존,어디}" "=>" "{문의}" 0.258064516129032 0.888888888888889 1.14814814814815
"[169]" "{기존,저녁}" "=>" "{인하대}" 0.290322580645161 0.9 1.03333333333333
"[170]" "{기존,인하대}" "=>" "{저녁}" 0.290322580645161 1 1.24
"[171]" "{기존,저녁}" "=>" "{어디}" 0.290322580645161 0.9 0.996428571428572
"[172]" "{기존,어디}" "=>" "{저녁}" 0.290322580645161 1 1.24
"[173]" "{기존,인하대}" "=>" "{어디}" 0.258064516129032 0.888888888888889 0.984126984126984
"[174]" "{기존,어디}" "=>" "{인하대}" 0.258064516129032 0.888888888888889 1.02057613168724
"[175]" "{주간,최대}" "=>" "{학술}" 0.225806451612903 0.7 1.27647058823529
"[176]" "{최대,학술}" "=>" "{주간}" 0.225806451612903 0.777777777777778 1.41830065359477
"[177]" "{주간,학술}" "=>" "{최대}" 0.225806451612903 0.7 1.44666666666667
"[178]" "{주간,최대}" "=>" "{정석}" 0.225806451612903 0.7 1.20555555555556
"[179]" "{정석,최대}" "=>" "{주간}" 0.225806451612903 0.7 1.27647058823529
"[180]" "{정석,주간}" "=>" "{최대}" 0.225806451612903 0.777777777777778 1.60740740740741
"[181]" "{주간,최대}" "=>" "{필요}" 0.258064516129032 0.8 1.12727272727273
"[182]" "{최대,필요}" "=>" "{주간}" 0.258064516129032 0.666666666666667 1.2156862745098
"[183]" "{주간,필요}" "=>" "{최대}" 0.258064516129032 0.727272727272727 1.5030303030303
"[184]" "{주간,최대}" "=>" "{문의}" 0.32258064516129 1 1.29166666666667
"[185]" "{문의,최대}" "=>" "{주간}" 0.32258064516129 0.714285714285714 1.30252100840336
"[186]" "{문의,주간}" "=>" "{최대}" 0.32258064516129 0.666666666666667 1.37777777777778
"[187]" "{주간,최대}" "=>" "{저녁}" 0.290322580645161 0.9 1.116
"[188]" "{저녁,최대}" "=>" "{주간}" 0.290322580645161 0.692307692307692 1.26244343891403
"[189]" "{저녁,주간}" "=>" "{최대}" 0.290322580645161 0.6 1.24
"[190]" "{주간,최대}" "=>" "{인하대}" 0.32258064516129 1 1.14814814814815
"[191]" "{인하대,최대}" "=>" "{주간}" 0.32258064516129 0.666666666666667 1.2156862745098
"[192]" "{인하대,주간}" "=>" "{최대}" 0.32258064516129 0.666666666666667 1.37777777777778
"[193]" "{주간,최대}" "=>" "{어디}" 0.290322580645161 0.9 0.996428571428572
"[194]" "{어디,최대}" "=>" "{주간}" 0.290322580645161 0.692307692307692 1.26244343891403
"[195]" "{어디,주간}" "=>" "{최대}" 0.290322580645161 0.5625 1.1625
"[196]" "{최대,학술}" "=>" "{정석}" 0.225806451612903 0.777777777777778 1.33950617283951
"[197]" "{정석,최대}" "=>" "{학술}" 0.225806451612903 0.7 1.27647058823529
"[198]" "{정석,학술}" "=>" "{최대}" 0.225806451612903 0.636363636363636 1.31515151515152
"[199]" "{최대,학술}" "=>" "{필요}" 0.225806451612903 0.777777777777778 1.0959595959596
"[200]" "{최대,필요}" "=>" "{학술}" 0.225806451612903 0.583333333333333 1.06372549019608
"[201]" "{필요,학술}" "=>" "{최대}" 0.225806451612903 0.538461538461538 1.11282051282051
"[202]" "{최대,학술}" "=>" "{문의}" 0.258064516129032 0.888888888888889 1.14814814814815
"[203]" "{문의,최대}" "=>" "{학술}" 0.258064516129032 0.571428571428571 1.04201680672269
"[204]" "{문의,학술}" "=>" "{최대}" 0.258064516129032 0.533333333333333 1.10222222222222
"[205]" "{최대,학술}" "=>" "{저녁}" 0.258064516129032 0.888888888888889 1.10222222222222
"[206]" "{저녁,최대}" "=>" "{학술}" 0.258064516129032 0.615384615384615 1.12217194570136
"[207]" "{저녁,학술}" "=>" "{최대}" 0.258064516129032 0.571428571428571 1.18095238095238
"[208]" "{최대,학술}" "=>" "{인하대}" 0.290322580645161 1 1.14814814814815
"[209]" "{인하대,최대}" "=>" "{학술}" 0.290322580645161 0.6 1.09411764705882
"[210]" "{인하대,학술}" "=>" "{최대}" 0.290322580645161 0.5625 1.1625
"[211]" "{최대,학술}" "=>" "{어디}" 0.290322580645161 1 1.10714285714286
"[212]" "{어디,최대}" "=>" "{학술}" 0.290322580645161 0.692307692307692 1.26244343891403
"[213]" "{어디,학술}" "=>" "{최대}" 0.290322580645161 0.529411764705882 1.09411764705882
"[214]" "{정석,최대}" "=>" "{필요}" 0.32258064516129 1 1.40909090909091
"[215]" "{최대,필요}" "=>" "{정석}" 0.32258064516129 0.833333333333333 1.43518518518519
"[216]" "{정석,필요}" "=>" "{최대}" 0.32258064516129 0.555555555555556 1.14814814814815
"[217]" "{정석,최대}" "=>" "{문의}" 0.32258064516129 1 1.29166666666667
"[218]" "{문의,최대}" "=>" "{정석}" 0.32258064516129 0.714285714285714 1.23015873015873
"[219]" "{문의,정석}" "=>" "{최대}" 0.32258064516129 0.769230769230769 1.58974358974359
"[220]" "{정석,최대}" "=>" "{저녁}" 0.290322580645161 0.9 1.116
"[221]" "{저녁,최대}" "=>" "{정석}" 0.290322580645161 0.692307692307692 1.19230769230769
"[222]" "{저녁,정석}" "=>" "{최대}" 0.290322580645161 0.5625 1.1625
"[223]" "{정석,최대}" "=>" "{인하대}" 0.32258064516129 1 1.14814814814815
