"lhs" "" "rhs" "support" "confidence" "lift"
"[112]" "{도움,최대}" "=>" "{소요}" 0.129032258064516 0.8 1.24
"[113]" "{소요,최대}" "=>" "{기간}" 0.161290322580645 0.714285714285714 1.00649350649351
"[114]" "{기간,최대}" "=>" "{소요}" 0.161290322580645 0.714285714285714 1.10714285714286
"[115]" "{소요,최대}" "=>" "{오늘}" 0.193548387096774 0.857142857142857 0.984126984126984
"[116]" "{오늘,최대}" "=>" "{소요}" 0.193548387096774 0.857142857142857 1.32857142857143
"[117]" "{소요,최대}" "=>" "{신청}" 0.193548387096774 0.857142857142857 0.916256157635468
"[118]" "{신청,최대}" "=>" "{소요}" 0.193548387096774 0.75 1.1625
"[119]" "{도움,최대}" "=>" "{기간}" 0.129032258064516 0.8 1.12727272727273
"[120]" "{도움,최대}" "=>" "{신청}" 0.129032258064516 0.8 0.855172413793103
"[121]" "{기간,최대}" "=>" "{오늘}" 0.193548387096774 0.857142857142857 0.984126984126984
"[122]" "{오늘,최대}" "=>" "{기간}" 0.193548387096774 0.857142857142857 1.20779220779221
"[123]" "{기간,최대}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[124]" "{신청,최대}" "=>" "{기간}" 0.225806451612903 0.875 1.23295454545455
"[125]" "{오늘,최대}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[126]" "{신청,최대}" "=>" "{오늘}" 0.225806451612903 0.875 1.00462962962963
"[127]" "{등등,서울}" "=>" "{오늘}" 0.129032258064516 1 1.14814814814815
"[128]" "{등등,서울}" "=>" "{신청}" 0.129032258064516 1 1.06896551724138
"[129]" "{기본,지역}" "=>" "{등등}" 0.129032258064516 0.8 2.25454545454545
"[130]" "{등등,지역}" "=>" "{지하}" 0.161290322580645 0.833333333333333 1.61458333333333
"[131]" "{등등,지하}" "=>" "{지역}" 0.161290322580645 0.714285714285714 1.58163265306122
"[132]" "{지역,지하}" "=>" "{등등}" 0.161290322580645 0.714285714285714 2.01298701298701
"[133]" "{등등,지역}" "=>" "{기간}" 0.161290322580645 0.833333333333333 1.17424242424242
"[134]" "{기간,등등}" "=>" "{지역}" 0.161290322580645 0.714285714285714 1.58163265306122
"[135]" "{등등,지역}" "=>" "{오늘}" 0.161290322580645 0.833333333333333 0.95679012345679
"[136]" "{등등,지역}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[137]" "{기본,등등}" "=>" "{오늘}" 0.161290322580645 0.833333333333333 0.95679012345679
"[138]" "{기본,등등}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[139]" "{등등,안전}" "=>" "{지하}" 0.129032258064516 0.8 1.55
"[140]" "{등등,안전}" "=>" "{기간}" 0.129032258064516 0.8 1.12727272727273
"[141]" "{등등,안전}" "=>" "{오늘}" 0.161290322580645 1 1.14814814814815
"[142]" "{등등,안전}" "=>" "{신청}" 0.161290322580645 1 1.06896551724138
"[143]" "{등등,지하}" "=>" "{참고}" 0.161290322580645 0.714285714285714 1.16541353383459
"[144]" "{등등,참고}" "=>" "{지하}" 0.161290322580645 0.833333333333333 1.61458333333333
"[145]" "{등등,지하}" "=>" "{기간}" 0.193548387096774 0.857142857142857 1.20779220779221
"[146]" "{기간,등등}" "=>" "{지하}" 0.193548387096774 0.857142857142857 1.66071428571429
"[147]" "{등등,지하}" "=>" "{오늘}" 0.193548387096774 0.857142857142857 0.984126984126984
"[148]" "{등등,지하}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[149]" "{금요일,등등}" "=>" "{오늘}" 0.161290322580645 1 1.14814814814815
"[150]" "{금요일,등등}" "=>" "{신청}" 0.161290322580645 1 1.06896551724138
"[151]" "{등등,참고}" "=>" "{기간}" 0.161290322580645 0.833333333333333 1.17424242424242
"[152]" "{기간,등등}" "=>" "{참고}" 0.161290322580645 0.714285714285714 1.16541353383459
"[153]" "{등등,참고}" "=>" "{오늘}" 0.193548387096774 1 1.14814814814815
"[154]" "{등등,참고}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[155]" "{등등,소요}" "=>" "{오늘}" 0.129032258064516 1 1.14814814814815
"[156]" "{등등,소요}" "=>" "{신청}" 0.129032258064516 1 1.06896551724138
"[157]" "{도움,등등}" "=>" "{오늘}" 0.129032258064516 0.8 0.918518518518519
"[158]" "{도움,등등}" "=>" "{신청}" 0.161290322580645 1 1.06896551724138
"[159]" "{기간,등등}" "=>" "{오늘}" 0.193548387096774 0.857142857142857 0.984126984126984
"[160]" "{기간,등등}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[161]" "{등등,오늘}" "=>" "{신청}" 0.32258064516129 1 1.06896551724138
"[162]" "{등등,신청}" "=>" "{오늘}" 0.32258064516129 0.909090909090909 1.04377104377104
